id,full_text
1437023514284920835,pump move position friday afternoon point celeste plaquemines parish part teamneworleans louisianacpra joint hurricane ida unwatering mission photos matt roe unwatering 
1436389321226039296,team full force week flyering hard hit local communities impact ida sustain storm damage document amp report losses mayor supervisor soon possible reach need hand skoufis nysenate gov 
1435342198783057924,tht tru heat climate change amp fuck n ya mammy ida 
1435324070392905733,rt ianmcnultynola last week ida blackout backatownnola open give away perishable inventory week back open business makeshift menu strong coffee wi fi amaze crawfish quiches basin st 
1434639613688102912,thank pres biden louisiana neworleans nola lakecharles batonrouge 
1436389086789570568,govern heavy rain flash flood cause hurricaneida inflict estimate million damage bus percent bus house staten island castleton bus depot localgov 
1434460823829766152,happy sunday good morning everyone break everything rise covid case across state massive cleanup efforts hurricaneida south plus ryanbretonwx cover week forecast join us newscentermaine wakemeup 
1435785308025544704,devastation communities hurricane ida enough environmental threats exacerbate wreak havoc earth thereisnoplanetb hurricaneida 
1434606021385785348,disasters upset experience natural feel increase anxiety stress someone know deal feel hurricaneida helpful resources 
1434487037189672965,trump america bluestarunicorn americans affect ida get 
1436306607017766940,karenrogers abc abc ida thankfully hey kr big dave go fishin look sing weatherman challah hashtag sing along mitch fridayfeeling 
1434863478477574146,lauriemac fema fema deanne richard rsc potus msnbc cnn ida end day get electricity back look like easy part compare recovery home public build pollution clean restore industry 
1434863435125305348,dragonqueen fema fema deanne richard rsc potus msnbc cnn ida end day get electricity back look like easy part compare recovery home public build pollution clean restore industry 
1435037266305589251,service available help bcbsla members affect ida early rx refill replace certain medical supply equipment bluecare visit sept question call customer service number member id card 
1434935791336050689,much trouble new orleans hurricaneida people die flood without power even much please give relief agency 
1434921600206393344,pipeline owner cleanup another company divers gulfofmexico ongoing oilspill hurricaneida identify apparent source foot diameter pipeline plus additional inch pipelines open apparently abandon 
1434368094957342720,president biden must announce come america continue practice misogyny acceptable equality women men america seek new life welcome one come american culture keep misogynistic culture hurricaneida 
